Российский государственный гидрометеорологический университет (РГГМУ),05.03.06,Экология и природопользование,"Экологические проблемы больших городов, промышленных зон и полярных областей",209,МИР,90,63220,139,"З, О"
Российский государственный гидрометеорологический университет (РГГМУ),17.03.01,Корабельное вооружение,Морские информационные системы и оборудование,187,МИР,43,260840,161,О
Российский государственный гидрометеорологический университет (РГГМУ),38.03.01,Экономика,Экономика и управление на предприятии,Бюджет только с этого года,МИР,2,63220,163,"О, ОЗ"
Российский государственный гидрометеорологический университет (РГГМУ),10.05.02,Информационная безопасность телекоммуникационных систем,Разработка защищенных телекоммуникационных систем,Бюджет только с этого года,МИР,4,221690,158,О,Специалитет
Российский государственный гидрометеорологический университет (РГГМУ),09.03.03,Прикладная информатика,Прикладные информационные  системы и технологии,222,МИР,22,221690,147,О
Российский государственный гидрометеорологический университет (РГГМУ),05.03.05,Прикладная гидрометеорология,Авиационная метеорология,Бюджет только с этого года,МИР,30,221690,119,О
Российский государственный гидрометеорологический университет (РГГМУ),03.03.02,Физика,Физические исследования природных процессов,Бюджет только с этого года,МИР,10,221690,118,О
Петербургский государственный университет путей сообщения императора Александра I (ПГУПС),10.05.03,Информационная безопасность автоматизированных систем,Безопасность автоматизированных систем на железнодорожном транспорте,219,МИР,20,221680,108,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",13.03.03,Энергетическое машиностроение,"Газотурбинные, паротурбинные установки и двигатели",201,МИР,18,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,Технология судового машиностроения,206,МИР,25,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.03.01,Корабельное вооружение,Морские информационные системы и оборудование,205,МИР,20,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.01,Машиностроение,Оборудование и технология сварочного производства,204,МИР,30,83800,118,"О, ОЗ"
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.02,Технологические машины и оборудование,Морские нефтегазовые сооружения,214,МИР,20,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",22.03.01,Материаловедение и технологии материалов,Материаловедение и технологии материалов,211,МИР,10,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",13.03.03,Энергетическое машиностроение,Двигатели внутреннего сгорания,201,МИР,37,83800,118,"О, ОЗ"
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.01,Машиностроение,Лазерные технологии,204,МИР,21,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.06,Мехатроника и робототехника,Информационное обеспечение робототехнических систем,218,МИР,30,83800,118,"О, ОЗ"
